GlobalId,Name,Pset_PCL.PCL ID,Pset_SmartPlant 3D.Description,Pset_SmartPlant 3D.Location,X,Y,Z,Voxel
05Wyw13qrDBhSbAXAVrSZV,Geometry,04e173b6-be83-482a-8bf5-9ddeb5f9292e,"90 Deg Vertical Inside Bend,  Aluminum, Ladder, 24"" Rad, 12"" W x  6"" D",E 113539 mm          N 305425 mm          EL+ 8776 mm,113.539,305.425,8.776,"Vx(2,6,2)"
1gKx8Iqcz26eWAi7F5vQQv,Geometry,3c426c5a-267f-4bed-99a6-47f102f7843b,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 117447 mm          N 305425 mm          EL+ 8776 mm,117.447,305.425,8.776,"Vx(2,6,2)"
1CQrEsZYLBuxYFK$IUQICQ,Geometry,3ba9de0e-04b7-4679-a072-9ce87a984dd8,"90 Deg Vertical Outside Bend,  Aluminum, Ladder, 24"" Rad, 12"" W x  6"" D",E 113539 mm          N 305425 mm         EL+ 12126 mm,113.539,305.425,12.126,"Vx(2,6,2)"
2xbCPMTeX21vMjdyb$P4I_,Geometry,e0b393eb-f185-4ec9-80b0-2a7a8e283193,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 113539 mm          N 305425 mm         EL+ 10451 mm,113.539,305.425,10.451,"Vx(2,6,2)"
2eMHQkEwz1iB0olgzxJ$0f,Geometry,0f862846-1b33-449c-8c1c-4eec51b9d2d5,"90 Deg Horizontal Bend,  Aluminum, Ladder, 24"" Rad, 12"" W x 6"" D",E 121474 mm          N 305425 mm          EL+ 8776 mm,121.474,305.425,8.776,"Vx(3,6,2)"
1gYo13noD6U9ss3XoRsNJ7,Geometry,c4a383ec-7fc8-4240-aff0-a295948bcfd8,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 121474 mm          N 303413 mm          EL+ 8776 mm,121.474,303.413,8.776,"Vx(3,6,2)"
06ulSyZoDBKhZMCIgd8uPk,Geometry,dd11dda0-3fae-40d2-8888-269c55a96052,"90 Deg Vertical Outside Bend,  Aluminum, Ladder, 24"" Rad, 12"" W x  6"" D",E 121474 mm          N 301522 mm          EL+ 8776 mm,121.474,301.522,8.776,"Vx(3,5,2)"
2J18yX1TDFSeTr4Cw3Bazz,Geometry,6d92617e-cf2a-41b2-9e3e-eb3b7ea964ef,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 121474 mm          N 301522 mm          EL+ 6176 mm,121.474,301.522,6.176,"Vx(3,5,2)"
3mQI1fID5BvfqQJkwjotho,Geometry,ba3906c4-2737-46d0-9476-c964f8d8a91c,"90 Deg Vertical Inside Bend,  Aluminum, Ladder, 24"" Rad, 12"" W x  6"" D",E 121474 mm          N 301522 mm          EL+ 3576 mm,121.474,301.522,3.576,"Vx(3,5,1)"
23mwM1yY14hAhIh_3ZDI_p,Geometry,2a855ea6-2a7e-47b3-b42d-956bfbc3d3d3,"90 Deg Horizontal Bend,  Aluminum, Ladder, 24"" Rad, 12"" W x 6"" D",E 121474 mm          N 298430 mm          EL+ 3576 mm,121.474,298.43,3.576,"Vx(3,5,1)"
0P7aWl5vnFvuWhm2ImrFqK,Geometry,445e31e6-f2b5-4cbf-aec6-192e57f00143,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 121474 mm          N 300036 mm          EL+ 3576 mm,121.474,300.036,3.576,"Vx(3,5,1)"
3GWx9dcOv7bg_O4ekpvlNd,Geometry,f187d304-17c5-4842-a7c9-060f938e3540,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 122996 mm          N 298430 mm          EL+ 3576 mm,122.996,298.43,3.576,"Vx(3,5,1)"
0nyY1lZ5L2WAUvPmJo4o7G,Geometry,045a48a7-f68e-48db-a12e-6767b4212c12,"Straight, Aluminum, Ladder, 9"" Rung, 12"" W x 6"" D x 10 ft",E 123617 mm          N 298956 mm          EL+ 2072 mm,123.617,298.956,2.072,"Vx(3,5,1)"
0_nBjXupHFaQ3$0QlauwiW,101/1A03/A/L7/1,e1b77e4c-f9bb-48ee-87c2-ce71a0256ede,,E 121529 mm          N 309480 mm          EL+ 5959 mm,121.529,309.48,5.959,"Vx(3,6,2)"
2FBsobAcPEv805udY9hs3k,101/1A03/C/R12/1,c1868950-cb38-4c22-a884-189d8fa9a5de,WELDING SOCKET,E 121382 mm          N 309952 mm          EL+ 7173 mm,121.382,309.952,7.173,"Vx(3,6,2)"
1iJPoKTcf3Kxf9Vk0tchJs,Copy of CONVINIENCE SOCKET-01,d58ed806-905b-4f50-944f-aac1087476ea,WELDING SOCKET,E 132001 mm          N 310111 mm          EL+ 1492 mm,132.001,310.111,1.492,"Vx(4,6,1)"
3Qi1SdhcX6tOZoD6f6rUad,Copy of Copy of CONVINIENCE SOCKET-01,c3217148-d574-443c-b43b-5e27d242e0a0,WELDING SOCKET,E 144496 mm          N 289477 mm          EL+ 1232 mm,144.496,289.477,1.232,"Vx(5,4,1)"
1RETCSfKH9Fv1zU9OknJBx,Electrical Equipments-ElectricalEquip01-E-1-0001,e7d19dd4-617b-4d35-ad1a-80798b5de031,,E 129318 mm          N 310201 mm          EL+ 3170 mm,129.318,310.201,3.17,"Vx(3,6,1)"
1h2rzKe4n2Ahi3NsoKTV43,Electrical Equipments-ElectricalLight01-E-1-0001,d498ced1-4188-4d3b-8596-fabf04e6d4cb,,E 129608 mm          N 314826 mm           EL+ 356 mm,129.608,314.826,0.356,"Vx(3,7,1)"
3ktmIy7lDBrf836guVyqn2,Electrical Equipments-ElectricalLight01-E-1-0002,bbbc9ecf-b22f-41e6-9bd8-7b6927b4a331,,E 133735 mm          N 314826 mm           EL+ 356 mm,133.735,314.826,0.356,"Vx(4,7,1)"
249T6gD75AIvegO2mjron7,Electrical Equipments-ElectricalLight01-E-1-0003,80b5e10b-b9e5-486c-b09e-93dae4fadf21,,E 141052 mm          N 314042 mm           EL+ 356 mm,141.052,314.042,0.356,"Vx(4,7,1)"
1qfcTmb7z0wv76otNgouJ6,Electrical Equipments-ElectricalLight01-E-1-0004,2eeee361-a87b-483a-acfb-a8dfa5d3a2e6,,E 141052 mm          N 309827 mm           EL+ 356 mm,141.052,309.827,0.356,"Vx(4,6,1)"
3dOREsEOvAlRvyS6Y6pBjo,Electrical Equipments-ElectricalLight01-E-1-0005,5bbad52b-cc37-423d-adc0-e87ac69a0279,,E 139887 mm          N 303703 mm           EL+ 353 mm,139.887,303.703,0.353,"Vx(4,6,1)"
0y5ROdRejEpAFdXD5WLubA,Electrical Equipments-ElectricalLight01-E-1-0006,5c838322-fbeb-4334-81ac-abe2580f9bc4,,E 133997 mm          N 314965 mm           EL+ 361 mm,133.997,314.965,0.361,"Vx(4,7,1)"
3nNORYLDn7cRZEkOyyDPAN,Electrical Equipments-ElectricalLight01-E-1-0008,65cd4cef-beea-4da5-9aa8-51bc581f4da4,,E 121539 mm          N 308849 mm         EL+ 10959 mm,121.539,308.849,10.959,"Vx(3,6,2)"
3nZC0rjvz70vGCBX3K0r$x,Electrical Equipments-ElectricalLight01-E-1-0010,71fb2669-9e0a-4300-8d64-270a38bf8cea,,E 117699 mm          N 314999 mm           EL+ 881 mm,117.699,314.999,0.881,"Vx(2,7,1)"
1BxJ$2zGXFEQMl7oo5pE$0,Electrical Equipments-ElectricalLight01-E-1-0011,5fccee28-7f7e-48cc-ab9d-f58771294a9e,,E 136004 mm          N 289272 mm           EL+ 238 mm,136.004,289.272,0.238,"Vx(4,4,1)"
2diJNsLun9HeRwclZ_3zeS,Electrical Equipments-ElectricalLight01-E-1-0012,04c19fdb-b28f-49aa-8f45-2366c5581d49,,E 145391 mm          N 290527 mm           EL+ 243 mm,145.391,290.527,0.243,"Vx(5,4,1)"
1btgV6FpfACRxbgt6qEkF9,Electrical Equipments-ElectricalLight01-E-1-0013,6f76dea6-73ae-43cd-8678-27363ed15552,,E 154866 mm          N 289194 mm           EL+ 243 mm,154.866,289.194,0.243,"Vx(6,4,1)"
3I6ox8SXf6YR8uBCVAa6Mz,Electrical Equipments-ElectricalLight01-E-1-0101,d5432ea0-f728-495e-9224-e24c1d8d4b62,,E 141126 mm          N 305394 mm           EL+ 356 mm,141.126,305.394,0.356,"Vx(4,6,1)"
042ww60urDKue3RRrkVvoV,Electrical Equipments-ElectricalLight01-E-1-0111,283d0f84-b75d-49dd-8a72-417aadb57aa4,,E 141052 mm          N 314466 mm           EL+ 356 mm,141.052,314.466,0.356,"Vx(4,7,1)"
2SxejEidH6k8fzzNkDVfM7,Custom Aspect type 72,d8900b25-2d18-445b-bafd-9ffe8a4f9916,CHILLED WATER TOWER,E 117700 mm          N 309500 mm         EL+ 32060 mm,117.7,309.5,32.06,"Vx(2,6,4)"
2GY4IUfWb59heDJJMhOCO1,Geometry,5914de5c-dda4-40a9-8a21-192bc8e7cd16,CHILLED WATER TOWER,E 117700 mm          N 309500 mm         EL+ 32060 mm,117.7,309.5,32.06,"Vx(2,6,4)"
2Wr7D3kj523875JgfKIkMi,Insulation Volume,4254ded6-bc40-48c2-a6ee-e5de092cf7b9,CHILLED WATER TOWER,E 117700 mm          N 309500 mm         EL+ 32060 mm,117.7,309.5,32.06,"Vx(2,6,4)"
0mFHJcNLj4UfC22e85mL3S,Custom Aspect type 72,78de7713-36da-43fb-be61-7757a505ae49,TSA ADSORBER VESSEL,E 157380 mm          N 296865 mm          EL+ 4700 mm,157.38,296.865,4.7,"Vx(6,5,2)"
